Course Projections for Current Semester:
Snapshot Date: 2024-08-31
Course: CS999 | Enrollment: 0 | Capacity: 20 | Projected for 50%: 0
Course: CS999 | Enrollment: 0 | Capacity: 20 | Projected for 75%: 0
Course: CS999 | Enrollment: 0 | Capacity: 20 | Projected for 100%: 0
Course: CS450 | Enrollment: 86 | Capacity: 148 | Projected for 25%: 54
Course: CS450 | Enrollment: 86 | Capacity: 148 | Projected for 50%: 48
Course: CS450 | Enrollment: 86 | Capacity: 148 | Projected for 75%: 54
Course: CS450 | Enrollment: 86 | Capacity: 148 | Projected for 100%: 54
Course: CS571 | Enrollment: 83 | Capacity: 160 | Projected for 25%: 9
Course: CS571 | Enrollment: 83 | Capacity: 160 | Projected for 50%: 4
Course: CS571 | Enrollment: 83 | Capacity: 160 | Projected for 75%: 9
Course: CS571 | Enrollment: 83 | Capacity: 160 | Projected for 100%: 9
Course: CS690 | Enrollment: 44 | Capacity: 150 | Projected for 25%: 44
Course: CS690 | Enrollment: 44 | Capacity: 150 | Projected for 50%: 23
Course: CS690 | Enrollment: 44 | Capacity: 150 | Projected for 75%: 44
Course: CS690 | Enrollment: 44 | Capacity: 150 | Projected for 100%: 44
Course: CS170 | Enrollment: 89 | Capacity: 146 | Projected for 25%: 89
Course: CS170 | Enrollment: 89 | Capacity: 146 | Projected for 50%: 55
Course: CS170 | Enrollment: 89 | Capacity: 146 | Projected for 75%: 89
Course: CS170 | Enrollment: 89 | Capacity: 146 | Projected for 100%: 89
Course: CS567 | Enrollment: 16 | Capacity: 25 | Projected for 25%: 8
Course: CS567 | Enrollment: 16 | Capacity: 25 | Projected for 50%: 1
Course: CS567 | Enrollment: 16 | Capacity: 25 | Projected for 75%: 8
Course: CS567 | Enrollment: 16 | Capacity: 25 | Projected for 100%: 8
Course: CS600 | Enrollment: 36 | Capacity: 135 | Projected for 25%: 35
Course: CS600 | Enrollment: 36 | Capacity: 135 | Projected for 50%: 25
Course: CS600 | Enrollment: 36 | Capacity: 135 | Projected for 75%: 35
Course: CS600 | Enrollment: 36 | Capacity: 135 | Projected for 100%: 35
Course: CS722 | Enrollment: 23 | Capacity: 88 | Projected for 25%: 14
Course: CS722 | Enrollment: 23 | Capacity: 88 | Projected for 50%: 12
Course: CS722 | Enrollment: 23 | Capacity: 88 | Projected for 75%: 14
