Seats,CRN,SUBJ,CRSE,TITLE,CR HRS,XLST CAP,ENR,LINK,XLST GROUP,SCHED TYPE,,CAMPUS,INSM,PRINT?,TIME,DAYS,BLDG,ROOM,OVERRIDE,INSTRUCTOR,,OVERALL CAP,OVERALL ENR,,,PTRM START,PTRM END,WL CAP,WL,WL REMAIN,NOTES,COMMENTS,COLL
"5","24120","CS","121G","INTR INFO LIT RSCH SCI REC (C)","0","15","4","E3","SC056","C","I","E","SYNC","Y"," 725- 815PM","M","WC5","","O","SYMPSON,WILLIAM","","20","15","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"5","24121","CS","121G","INTR INFO LIT RSCH SCI REC (C)","0","20","1","F3","SC056","C","I","H","SYNC","Y"," 725- 815PM","M","WC7","","O","SYMPSON,WILLIAM","","20","15","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"4","24122","CS","121G","INTR INFO LIT RSCH SCI REC (C)","0","4","0","D3","SC058","C","I","B","SYNC","N"," 725-1015PM","W","WC2","","","SYMPSON,WILLIAM","","20","0","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"15","24123","CS","121G","INTR INFO LIT RSCH SCI REC (C)","0","15","0","E3","SC058","C","I","E","SYNC","N"," 725-1015PM","W","WC5","","O","SYMPSON,WILLIAM","","20","0","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"10","24124","CS","121G","INTR INFO LIT RSCH SCI REC (C)","0","10","0","F3","SC058","C","I","H","SYNC","N"," 725-1015PM","W","WC7","","O","SYMPSON,WILLIAM","","20","0","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"5","30126","CS","121G","INTR INFO LITERACY & RSRCH (A)","3","15","10","R2","SC190","30","I","B","ASYN","Y","HOURS ARR","","WEB2","","","GUPTA,REKHA","","40","16","1","ASYN","06-JAN-24","22-APR-24","20","0","20"
"24","30134","CS","121G","INTR INFO LITERACY & RSRCH (A)","3","40","5","S2","SC190","30","I","E","ASYN","Y","HOURS ARR","","WEB5","","","GUPTA,REKHA","","40","16","1","ASYN","06-JAN-24","22-APR-24","20","0","20"
"24","30135","CS","121G","INTR INFO LITERACY & RSRCH (A)","3","40","1","T2","SC190","30","I","H","ASYN","Y","HOURS ARR","","WEB7","","","GUPTA,REKHA","","40","16","1","ASYN","06-JAN-24","22-APR-24","20","0","20"
"0","30136","CS","121G","INTR INFO LITRCY&RSRCH REC (A)","0","5","5","R3","SC191","C","I","B","SYNC","Y"," 725- 815PM","T","WC2","","O","GUPTA,REKHA","","24","9","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"15","30137","CS","121G","INTR INFO LITRCY&RSRCH REC (A)","0","20","3","S3","SC191","C","I","E","SYNC","Y"," 725- 815PM","T","WC5","","O","GUPTA,REKHA","","24","9","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"9","30138","CS","121G","INTR INFO LITRCY&RSRCH REC (A)","0","10","1","T3","SC191","C","I","H","SYNC","Y"," 725- 815PM","T","WC7","","O","GUPTA,REKHA","","24","9","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"0","30139","CS","121G","INTR INFO LITRCY&RSRCH REC (A)","0","5","5","R3","SC192","C","I","B","SYNC","Y"," 725- 815PM","R","WC2","","O","GUPTA,REKHA","","24","7","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"17","30140","CS","121G","INTR INFO LITRCY&RSRCH REC (A)","0","20","2","S3","SC192","C","I","E","SYNC","Y"," 725- 815PM","R","WC5","","O","GUPTA,REKHA","","24","7","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"10","30141","CS","121G","INTR INFO LITRCY&RSRCH REC (A)","0","10","0","T3","SC192","C","I","H","SYNC","Y"," 725- 815PM","R","WC7","","O","GUPTA,REKHA","","24","7","1","SYNC","06-JAN-24","22-APR-24","20","0","20"
"0","25639","CS","129","VPCC-COMPUTER SCIENCE I","4","0","0","","","A","","C","","N","HOURS ARR","","","","","STAFF","","","0","5","","","","0","0","0"
"1","27280","CS","129","TCCV-PROBLEM SOLVING & PROG I","4","1","0","","","A","","C","","N","HOURS ARR","","","","","STAFF","","","0","5","","","","0","0","0"
"33","32396","CS","151","INTRO PROGRAMMING WITH JAVA","4","75","42","A1","","A","","A","TRAD","Y"," 130- 245PM","TR","KAUF","0100","","IBRAHIM,SOAD","","","42","1","CLAS","06-JAN-24","22-APR-24","0","0","0"
"23","32398","CS","151","INTRO PROGRAMMNG WITH JAVA LAB","0","38","15","A2","","B","","A","LAB","Y"," 900-1130AM","W","DRGS","2112","","IBRAHIM,SOAD","","","15","1","CLAS","06-JAN-24","22-APR-24","0","0","0"
"16","32399","CS","151","INTRO PROGRAMMNG WITH JAVA LAB","0","38","22","A2","","B","","A","LAB","Y","1200- 230PM","W","DRGS","2112","","IBRAHIM,SOAD","","","22","1","CLAS","06-JAN-24","22-APR-24","0","0","0"
"33","32400","CS","151","INTRO PROGRAMMNG WITH JAVA LAB","0","38","5","A2","","B","","A","LAB","Y"," 300- 530PM","W","DRGS","2112","","IBRAHIM,SOAD","","","5","1","CLAS","06-JAN-24","22-APR-24","0","0","0"
